Synonym	ID	Precursor m/z	Mass error (ppm)	RT (min)	Formula	Adduct	Tanimoto similarity	InChIKey planar	log2(FC)	P-value	Q-value	Class
2-[2-(2-Pyridinyl)ethyl]pyridine	340	223.0634	0.8	8.8	C12H12N2	[M + K]+	0.56	WBIBUCGCVLAPQG	-0.118223836388956	0.429531740111436	0.71943065591445	Pyridines and derivatives
Lauroylcarnitine	1886	344.2782	-3.9	5.6	C19H37NO4	[M + H]+	0.98	FUJLYHJROOYKRA	0.141125337283646	0.435055459786997	0.72249998618867	Acyl carnitines
2-Carboxymethylthiobenzothiazole	998	225.9983	-3.7	4.2	C9H7NO2S2	[M + H]+	0.73	ZZUQWNYNSKJLPI	0.252117073639716	0.436838337844189	0.724158826417162	Benzothiazoles
4-Acetaminophen-d3 Sulfate	1296	232.0262	-5.3	0.5	C8H9NO5S	[M + H]+	0.96	IGTYILLPRJOVFY	0.241290150597661	0.439745063206242	0.726336161917194	Phenylsulfates
Dihydroisomorphine-6-glucuronide	2225	464.19	-3.2	4	C23H29NO9	[M + H]+	0.56	DSUSABDLTYJUKQ	0.220359047087358	0.442984700081379	0.729047324593615	Morphinans
(2R)-2-[(R)-[[(2E)-2-(2-amino-1,3-thiazol-4-yl)-2-(2-carboxypropan-2-yloxyimino)acetyl]amino]-carboxymethyl]-5-methyl-2H-1,3-thiazine-4-carboxylic acid	3897	486.0749	0.1	2.8	C17H19N5O8S2	[M + H]+	0.51	DVHCTTCOPRRYQN	-0.632703886110878	0.445533531511696	0.730931529205198	Alpha amino acids and derivatives
Benzyloxycarbonyl-Tyr-Leu-NHOH	4220	466.1974	5.3	3	C23H29N3O6	[M + Na]+	0.51	YBHTVSIBHATTHP	-0.432077720603935	0.446148609321731	0.730954168102584	Dipeptides
Curvulapyrone	1283	279.0831	-2.8	3.3	C12H16O6	[M + Na]+	0.5	MQOYRGFPFLMMGH	-0.158562500156274	0.446397953373331	0.731034277482057	Pyranones and derivatives
Aphanamolide B	4724	715.2637	8.9	6.1	C34H44O15	[M + Na]+	0.5	RUIXOGHPZKBVQA	0.337974346914793	0.447084088594805	0.731500974026583	Pentacarboxylic acids and derivatives
2-acetamidohex-4-enoate	3226	194.0778	-5.1	1.6	C8H13NO3	[M + Na]+	0.6	BPJGGWBVULVVEV	1.27601342590765	0.450638400707686	0.73280566904481	Alpha amino acids and derivatives
stachydrine	865	144.102	0.9	0.3	C7H13NO2	[M + H]+	0.65	CMUNUTVVOOHQPW	0.249126171214807	0.452502979624051	0.73280566904481	Alpha amino acids and derivatives
[(2S)-1-hydroxy-3-nonanoyloxypropan-2-yl] (Z)-tetradec-4-enoate	1327	463.3389	-1	8	C26H48O5	[M + Na]+	0.61	DHWQMEYLACJCQJ	-0.178303777638221	0.451322238608783	0.73280566904481	Diacylglycerols
3-Methyl-9H-carbazole-9-carbaldehyde	6600	210.0917	1.5	3.8	C14H11NO	[M + H]+	0.56	ODQBPNZNDIOBFN	-0.267747756916492	0.452119769281063	0.73280566904481	N-acylcarbazoles
2-(3,7-dimethylocta-3,4-dien-1-yl)-1,3,3-trimethylcyclohexene	3168	283.2408	3.9	4.9	C19H32	[M + Na]+	0.62	XFSRTNQYXZYRGO	-0.174634007014814	0.449182800114753	0.73280566904481	Sesquiterpenoids
terazosin	6031	388.1966	-3.6	3.3	C19H25N5O4	[M + H]+	1	VCKUSRYTPJJLNI	0.81741137574285	0.458171200640595	0.740133692304011	N-arylpiperazines
3-(2,6-dimethylphenyl)-1-methyl-urea	3970	179.1174	-2.9	0.9	C10H14N2O	[M + H]+	0.59	CNLRIEZQTWVNRJ	-0.204551072071551	0.46040067413464	0.741643665445685	N-phenylureas
1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphoethanolamine	1036	740.5246	2.8	9.4	C41H74NO8P	[M + H]+	0.99	DRIVXEVMDWCWLI	-0.197389860112106	0.462135568631094	0.742646086611479	Phosphatidylethanolamines
Monolinolein	944	355.2829	-4	7.5	C21H38O4	[M + H]+	0.97	WECGLUPZRHILCT	-0.113000806495324	0.461563735602844	0.742646086611479	Lineolic acids and derivatives
Heteroauxin	1050	176.0708	0.9	3.3	C10H9NO2	[M + H]+	1	SEOVTRFCIGRIMH	0.126852758053324	0.465512101756328	0.745596238517931	Indolyl carboxylic acids and derivatives
Dextrorphan beta-D-O-Glucuronide	5752	434.2166	-1.8	1.8	C23H31NO7	[M + H]+	1	YQAUTKINOXBFCA	-1.656077893957	0.469963497737274	0.749649552036259	Morphinans
(2R,4R)-1-Acetoxy-16-heptadecyne-2,4-diol	3356	349.2363	3.8	6.7	C19H34O4	[M + Na]+	0.6	JAKAZHIACKJNNB	0.13883245403585	0.471649878754191	0.750013254729291	Long-chain fatty alcohols
Pom-pavcc	4391	459.1617	7	4.5	C23H26N2O6S	[M + H]+	0.56	IPWNJKJYNDLPHY	0.450666156564727	0.473415484432406	0.750150163086865	Cephalosporins
gamma-l-glutamyl-l-leucine	1401	261.1424	-8.2	1	C11H20N2O5	[M + H]+	0.84	MYFMARDICOWMQP	-0.0858251860558581	0.473053246655074	0.750150163086865	Alpha amino acids and derivatives
2-{[(4-methoxy-3,5-dimethyl-2-pyridyl)methyl]sulfanyl}-4-quinazolinol	5120	328.1104	-3.2	3.5	C17H17N3O2S	[M + H]+	0.6	VNVBLZCHPUPMDK	-0.491381989388639	0.472735840229284	0.750150163086865	Quinazolines
2-methoxyacetaminophen glucuronide	7035	396.0714	5.7	1.1	C15H19NO9	[M + K]+	0.66	GDCCQRYSPGZVPX	0.371958571804899	0.477891058696546	0.753226492747138	Phenolic glycosides
bilirubin	2769	585.2696	-2.1	6.1	C33H36N4O6	[M + H]+	0.92	BPYKTIZUTYGOLE	-0.223324345788748	0.478345024282046	0.753574213199405	Bilirubins
metformin	3768	130.1075	-9.7	0.3	C4H11N5	[M + H]+	0.5	XZWYZXLIPXDOLR	1.02191699552282	0.481272639677329	0.756878532515402	Biguanides
Agaricin	3504	439.2661	-1.2	8	C22H40O7	[M + Na]+	0.51	HZLCGUXUOFWCCN	-0.131453422979508	0.48260477246901	0.757666640204253	Tricarboxylic acids and derivatives
monooleoylphosphatidylethanolamine	880	480.3081	-0.9	6.6	C23H46NO7P	[M + H]+	1	PYVRVRFVLRNJLY	-0.0983587328704965	0.486178221552665	0.759724100062428	Lysophosphatidylethanolamines
D-Phe-Pro-DKP	5516	245.128	-2	3.1	C14H16N2O2	[M + H]+	0.93	QZBUWPVZSXDWSB	-0.131917498357588	0.486217527179831	0.759724100062428	Alpha amino acids and derivatives
1-tetradecanoyl-2-pentadecanoyl-glycero-3-phosphoserine	2217	694.4615	-5.6	7.9	C35H68NO10P	[M + H]+	0.71	RDGOWVQONPEGML	-0.107113639801849	0.484840581737046	0.759724100062428	Phosphatidylserines
Dodicin	532	352.2922	-3.6	8.1	C18H39N3O2	[M + Na]+	0.52	FSKNXCHJIFBRBT	-0.144951175903809	0.490463291880078	0.762445006372845	Alpha amino acids and derivatives
histidinediium	1367	156.0762	-3.6	0.2	C6H9N3O2	[M + H]+	1	HNDVDQJCIGZPNO	-0.0907425676974328	0.491441383026287	0.762445006372845	Alpha amino acids and derivatives
Digipurpurin	6745	739.4253	-1.4	7.1	C39H62O13	[M + H]+	0.55	SFEHRMOYOAKJPO	-0.57542390685404	0.495377632101782	0.765526366218305	Steroidal glycosides
5-Hydroxy-3-(hydroxymethyl)-6-isopropyl-2-oxo-3-cyclohexen-1-yl 3-methylpentanoate	1120	299.1857	1.3	5.8	C16H26O5	[M + H]+	0.51	BUOADWXGPJXKRM	-0.129332900831152	0.496656497695082	0.766636308741012	Menthane monoterpenoids
3-hydroxy-3-[[(1R,2S,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl]oxycarbonyl]pentanedioic acid	3626	329.1577	-5.4	7.3	C16H24O7	[M + H]+	0.6	OAWJOZQLMVETKE	0.10630796582877	0.50100134441237	0.767796956391868	Bicyclic monoterpenoids
O-palmitoleyl-L-carnitine	1662	398.3261	-1.1	6.3	C23H43NO4	[M + H]+	0.92	JFAGPSOZZSTLRF	0.10493460771885	0.503594164790892	0.770712513215436	Acyl carnitines
phenylalanylasparagine	3847	302.1132	6.7	3.4	C13H17N3O4	[M + Na]+	0.55	BXNGIHFNNNSEOS	0.145615335051998	0.505683433280119	0.771268946185554	Dipeptides
carbamazepine	2702	237.1013	-4	4.3	C15H12N2O	[M + H]+	0.76	FFGPTBGBLSHEPO	-0.142135536610167	0.506580557090716	0.771268946185554	Dibenzazepines
[(3S,5S,6R)-5-acetyloxy-1-(4-hydroxy-3-methoxyphenyl)-6-(3-hydroxypropyl)decan-3-yl] acetate	1434	439.2714	5.3	8.5	C24H38O7	[M + H]+	0.52	KDEMRTVSPJEBLL	0.118609587526446	0.505594350529046	0.771268946185554	Fatty alcohol esters
5-amino-4-(2-phenylhydrazinyl)-3H-pyrazol-3-one	4209	204.0864	-7.6	4	C9H9N5O	[M + H]+	0.55	ORRWSNWFDNFTLA	0.1251242642342	0.507961611542107	0.771268946185554	Benzene and substituted derivatives
9,13-Dimethyltetradecanoic acid	136	257.2481	2.4	8.2	C16H32O2	[M + H]+	0.59	OURZNXJACGQLFC	-0.0751605431779661	0.504224401508591	0.771268946185554	Long-chain fatty acids
sucrose-2,4-di-(2-methyl)butyrate	4826	511.2408	4.5	7.1	C22H38O13	[M + H]+	0.5	ZIOCOLRVNXZCOM	0.549627444924984	0.507221446019051	0.771268946185554	NA
Alanylphosphatidylglycerol	6872	682.4281	-1.3	6.9	C33H64NO11P	[M + H]+	0.71	ZXAVHCQVHRXXOF	0.195609559153384	0.508187353354507	0.771268946185554	Alpha amino acids and derivatives
5-ethyl-2,11,14,20,23-pentamethyl-4,13,22,28,29,30-hexaoxatetracyclo[23.2.1.17,10.116,19]triacontane-3,12,21-trione	7427	567.3562	6.1	6.9	C31H50O9	[M + H]+	0.55	KAINWDADJCHLRS	-0.312390954106679	0.512346280302412	0.774924857783177	Macrolides and analogues
Asn-Met-Thr-Thr	4712	466.1978	2.5	3.7	C17H31N5O8S	[M + H]+	0.5	MPXTVIOEYISUQC	0.10627454385494	0.514709540390421	0.775371164605011	Oligopeptides
parahydroxybenzoate	3043	139.0381	-6.6	3.1	C7H6O3	[M + H]+	0.71	FJKROLUGYXJWQN	0.296508228228855	0.515897655010975	0.77650794379902	Hydroxybenzoic acid derivatives
N-[(1-{N-[(4-methylphenyl)sulfonyl]-L-methionyl}piperidin-4-yl)carbonyl]-L-tryptophan	5239	601.2187	6.3	3.5	C29H36N4O6S2	[M + H]+	0.52	RNOHRPQDCWPFEO	0.872860789069342	0.516658187293683	0.777204980218986	Alpha amino acids and derivatives
heptadecasphinganine	399	288.2897	-0.2	5.5	C17H37NO2	[M + H]+	0.5	KFQUQCFJDMSIJF	0.123183705894358	0.518695087757099	0.778790030897547	Alkanolamines
2-(7-hydroxy-4-oxo-3-phenoxy-4H-chromen-2-yl)benzoic acid	4857	397.0702	4.8	1.3	C22H14O6	[M + Na]+	0.56	IBYUHMKVRXMUFS	0.446568760308072	0.520394436883687	0.780056930256806	Flavones
4-Hydroxy Duloxetine-d6 ?-D-Glucuronide	4532	490.1527	-0.8	3.3	C24H27NO8S	[M + H]+	0.64	OBIZFSZXDHWUJZ	-0.847442155001159	0.521660089379293	0.78067063847611	Phenolic glycosides
Methyl 7-(acetyloxy)-3,12-dihydroxycholan-24-oate	4199	465.3212	0.2	5.9	C27H44O6	[M + H]+	0.61	MQMDKPZWEWBJGP	0.136587814726552	0.52549796504522	0.783241157247527	Dihydroxy bile acids, alcohols and derivatives
6-(6-hydroxy-4-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid	6777	343.114	-3.6	4.8	C17H20O6	[M + Na]+	0.81	DTZAEEQSFNGGEJ	-0.8057516988404	0.526479929815184	0.784343261452605	Phthalides
HO-PEG9-OH	2386	432.2793	-2.5	2.9	C18H38O10	[M + H3N + H]+	1	YZUUTMGDONTGTN	-0.134442296979628	0.528611519043224	0.785273405275209	Polyethylene glycols
N-Acetyl-5-hydroxy-L-tryptophan	5013	263.102	-2.5	2	C13H14N2O4	[M + H]+	0.59	MOFGVUQTFJGNSG	0.32931388721668	0.531483555558857	0.786918371369683	N-acylserotonins
N-Acetyl-6-hydroxytryptophan	5048	263.1011	-5.9	2.2	C13H14N2O4	[M + H]+	0.52	SRHPKORNWUUECV	0.32931388721668	0.531483555558857	0.786918371369683	Alpha amino acids and derivatives
(9Z,12Z)-N-ethyloctadeca-9,12-dienamide	3136	308.2963	4.8	8.1	C20H37NO	[M + H]+	0.57	XCLBZPCBKFADQY	-0.152501232864115	0.534989043028627	0.790881653800325	N-acyl amines
Ethyl 3-hydroxyoctanoate O-[glucosyl-(1->6)-glucoside]	2765	513.2542	-0.1	7.2	C22H40O13	[M + H]+	0.52	QAIPLYVRKVVKMO	-0.716208682574962	0.540313061999038	0.795604037499171	Fatty acyl glycosides of mono- and disaccharides
2,7-dimethyl-8-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyocta-4,6-dienoic acid	3670	369.151	-2.8	3.5	C16H26O8	[M + Na]+	0.54	AEXJDSDOWQJVOT	0.199380573343862	0.542050154342532	0.796798433247567	Saccharolipids
N-4-Pyridylbenzenesulfonamide	3436	235.0521	-6.4	3.1	C11H10N2O2S	[M + H]+	0.56	SXYATQLMZOZEFK	0.137715052041009	0.545169647534289	0.798414353664847	Benzenesulfonamides
N-{[(3R)-2,2-dimethyl-5-oxo-2,3,5,9b-tetrahydro[1,3]thiazolo[2,3-a]isoindol-3-yl]carbonyl}-L-valyl-L-phenylalanine	4164	510.2014	-8.6	2.9	C27H31N3O5S	[M + H]+	0.56	FTEVFWCCRZCTJD	0.408251486217182	0.548069106445698	0.800483793034626	Peptides
6,9,12,15,18-heneicosapentaenoic acid	1710	317.2457	-5.7	7.5	C21H32O2	[M + H]+	0.55	OQOCQFSPEWCSDO	-0.105703692899256	0.550424868419482	0.801552459920708	Long-chain fatty acids
Linoleic acid dimer	929	561.4891	2.4	7.9	C36H64O4	[M + H]+	0.63	CIRMGZKUSBCWRL	-0.0934404407534433	0.555066769315642	0.80427139924836	Medium-chain fatty acids
Desethylamiodarone	6066	617.9991	-1	5.9	C23H25I2NO3	[M + H]+	0.61	VXOKDLACQICQFA	-0.93145378324662	0.554757904946245	0.80427139924836	Aryl ketones
N-pyridin-3-yl-1H-indole-3-carboxamide	3459	238.0988	5.4	3	C14H11N3O	[M + H]+	0.55	QFXNHHVIBNIDBM	-0.168600717337196	0.555490657354286	0.804556960830453	Indolecarboxamides and derivatives
Mono((acetyloxy)methyl)octanol acetate	7577	245.174	-2.9	5.6	C13H24O4	[M + H]+	0.59	FLTHTXOHIZKWMR	-0.104456988936014	0.557805431810271	0.80571035677868	Fatty alcohol esters
4-(2-Ethylhexyl) 1-(octadec-9-enyl) malate	3182	519.4016	-0.9	8.9	C30H56O5	[M + Na]+	0.54	SXJPEFGFOXWMFO	-0.123245866976277	0.559744750807958	0.806873164504594	Fatty alcohol esters
1-docosahexaenoyl-2-pentadecanoyl-sn-glycero-3-phosphocholine	6604	792.5536	-0.2	8.3	C45H78NO8P	[M + H]+	0.94	HRYWZKNWBVEPAC	0.154222326053952	0.562128081443727	0.807839107240745	Phosphatidylcholines
(2S,3S)-2-hydroxy-2-(2-methoxy-2-oxoethyl)-3-(15-oxohexadecyl)butanedioic acid	7157	445.2802	1.4	6.4	C23H40O8	[M + H]+	0.56	NBESXPAXRQTJBO	0.115979144153952	0.561101041885148	0.807839107240745	Tricarboxylic acids and derivatives
1-palmitoyl-2-[(10E)-9-hydroperoxyoctadecenoyl]-sn-glycero-3-phosphocholine	576	792.5787	4.7	8.3	C42H82NO10P	[M + H]+	0.93	PZGLXPVJRAJRPD	0.154222326053952	0.562128081443727	0.807839107240745	Phosphatidylcholines
[2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methyl 2,6-dihydroxybenzoate	4405	445.1095	-2.4	3.5	C20H22O10	[M + Na]+	0.57	VYRJQVWKLFWZBD	0.382576933927551	0.562489445682656	0.807839107240745	Phenolic glycosides
dodecaethyleneglycol	2757	564.3583	-1.2	3.3	C24H50O13	[M + H3N + H]+	0.79	WRZXKWFJEFFURH	-0.121360133656676	0.569554678942233	0.81425555237253	Polyethylene glycols
9-methoxy-9-oxononanoate	2603	203.1273	-2.6	4.3	C10H18O4	[M + H]+	0.76	VVWPSAPZUZXYCM	-0.0980121771140503	0.571077946713836	0.815155096542216	Medium-chain fatty acids
(3R,5S,7R,8R,9S,10S,12S,13R,14S,17S)-17-ethyl-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol	2162	359.2571	4.1	4.8	C21H36O3	[M + Na]+	0.54	MCHGSOFSXNNMDV	0.347378148850322	0.575992543461326	0.818964836648521	Gluco/mineralocorticoids, progestogins and derivatives
p-acetamidophenylglucuronide	3271	328.1018	-2.9	2.4	C14H17NO8	[M + H]+	0.8	IPROLSVTVHAQLE	0.298865343299678	0.581379463449531	0.821932445188832	Phenolic glycosides
1-o-tetradecyl-sn-glycerol	5795	311.2572	5	7.8	C17H36O3	[M + Na]+	0.53	JSSKAZULTFHXBH	0.128805188414112	0.580707943240696	0.821932445188832	Monoalkylglycerols
9-hydroperoxylinolenic acid	2746	311.2212	-1.7	6.1	C18H30O4	[M + H]+	0.66	QVUYXFFTZMKSBG	0.084283126862303	0.581853048449502	0.821932445188832	Lineolic acids and derivatives
methyl (4S)-4-[(3S,5S,6S,7R,8S,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoate	3634	461.2896	4.9	5.8	C25H42O6	[M + Na]+	0.5	SYHUKNSTHJICMX	-0.123109370917266	0.583037903949413	0.821932445188832	Tetrahydroxy bile acids, alcohols and derivatives
Penicillin G Acyl-Serine	4291	440.1477	-2.1	4.1	C19H25N3O7S	[M + H]+	0.62	USNINKBPBVKHHZ	-0.302261635705896	0.579763965835119	0.821932445188832	Depsipeptides
1-(Carboxymethyl)-2,3-dimethylpyridin-1-ium	3855	188.0699	8.8	3.1	C9H11NO2	[M + Na]+	0.54	GXHXILXUVIOAQJ	0.121802578219242	0.587485547004822	0.825013396198147	Alpha amino acids and derivatives
13'-carboxy-alpha-tocopherol	5434	461.3606	-4.3	7.1	C29H48O4	[M + H]+	0.59	NJIUWSABAIXPGI	0.104098944276219	0.587736514188661	0.82504813981757	Tocopherols
oxycodone	1889	316.1545	0.4	1.7	C18H21NO4	[M + H]+	0.8	BRUQQQPBMZOVGD	0.266853992633261	0.593395119287879	0.825923367937835	Phenanthrenes and derivatives
2-Methoxy-6-vinylnaphthalene	4315	185.0959	-1.2	5.9	C13H12O	[M + H]+	0.56	DGQUMYDUFBBKPK	0.473538352004981	0.592727233806014	0.825923367937835	Naphthalenes
2,2-Dimethyl-1beta,25-dihydroxycholecalciferol	1601	445.3673	-0.8	9.6	C29H48O3	[M + H]+	0.54	VZTWHRUKRIBVHO	0.0943072709372448	0.590780427383101	0.825923367937835	Vitamin D and derivatives
Pentaerythritol tetravalerate	7491	473.3112	0.6	6.9	C25H44O8	[M + H]+	0.51	ZQYCVIGMGPFQQS	-0.235146936752257	0.591859720110462	0.825923367937835	Tetracarboxylic acids and derivatives
2-[[(4R)-4-[(3S,5S,7R,8S,9S,10R,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-4,5,6,7,8,9,14,15,16,17-decahydro-3H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid	6926	446.2891	-2.4	4.9	C26H39NO5	[M + H]+	0.8	KBUNVXNJJNOYHH	0.195008495205135	0.60086008612967	0.829423442132819	NA
(10E,12E,14R)-9-Oxo-14-hydroxy-10,12-octadecadienoic acid	3550	311.2218	0.2	5.6	C18H30O4	[M + H]+	0.5	GDCBVHSUEZTUIW	-0.135485176904701	0.601908378405187	0.829928111925791	Lineolic acids and derivatives
ditritiotyrosine	834	182.0797	-8.1	0.4	C9H11NO3	[M + H]+	1	OUYCCCASQSFEME	0.0456714720150933	0.602357608249087	0.830233634650196	Alpha amino acids and derivatives
1,3-Dibutyl citrate	3539	305.1594	-0.4	5.4	C14H24O7	[M + H]+	0.76	XRCRWCVBMHENNE	-0.160638092836132	0.606271731311471	0.832168989120412	Tricarboxylic acids and derivatives
Androstanediol	5819	293.2468	-2.4	7.2	C19H32O2	[M + H]+	0.56	CBMYJHIOYJEBSB	0.0926624219629921	0.612721510411524	0.836927096805554	Androgens and derivatives
Bollex	2625	293.2473	-0.6	7.3	C19H32O2	[M + H]+	0.92	KOJYENXGDXRGDK	0.0926624219629921	0.612721510411524	0.836927096805554	Lineolic acids and derivatives
Oxyresveratrol2-O-beta-D-glucopyranoside	4759	429.115	-1.5	4.1	C20H22O9	[M + Na]+	0.57	UPUMEBJDZQEUFC	-0.432050197714278	0.611841574473999	0.836927096805554	Stilbene glycosides
5-Amino-2-phenyl-2H-[1,2,3]triazolo[4,5-d]pyrimidin-7(3H)-one	6041	229.0828	-1.9	4.5	C10H8N6O	[M + H]+	0.54	OIAXNBVLMBXWJU	-0.209381870136058	0.621247029199261	0.838977215490578	Phenyltriazoles
HO-PEG11-OH	2400	520.3318	-1.8	3.2	C22H46O12	[M + H3N + H]+	0.92	PSVXZQVXSXSQRO	-0.10701778956859	0.620532325950786	0.838977215490578	Polyethylene glycols
sulfamethizole	6714	271.0317	-0.3	2.6	C9H10N4O2S2	[M + H]+	1	VACCAVUAMIDAGB	-0.170198675166903	0.620548773513975	0.838977215490578	Aminobenzenesulfonamides
1-(4-methoxyphenyl)-N-(tetrahydrofuran-2-ylmethyl)-9H-beta-carboline-3-carboxamide	3996	402.1811	-0.4	3.2	C24H23N3O3	[M + H]+	0.52	SHAVXSRWAFTLBW	-0.544016400121711	0.624930534689468	0.841625428365025	Harmala alkaloids
Mupirocin W	3839	525.3039	0.9	6.2	C26H46O9	[M + Na]+	0.57	KSIISLVQHFGDEP	-0.392116180099325	0.627599629527686	0.843617082344773	Fatty alcohols
Methilanin	1024	150.0576	-4.8	0.3	C5H11NO2S	[M + H]+	0.99	FFEARJCKVFRZRR	-0.070649106148895	0.628952571735955	0.844068474048418	Alpha amino acids and derivatives
Indolelactate	1388	206.0808	-1.6	3	C11H11NO3	[M + H]+	0.91	XGILAAMKEQUXLS	0.0838734799870272	0.629058983401042	0.844068474048418	Indolyl carboxylic acids and derivatives
1-g-linolenoyl-2-palmitoyl-sn-glycero-3-phosphocholine	2441	756.5575	4.8	7.9	C42H78NO8P	[M + H]+	0.94	MXPOYZQNXGPEDV	-0.100888520863549	0.633211275622525	0.846624422336445	Phosphatidylcholines
(2S)-N-cyclopentyl-2-[[(2S)-3-methyl-2-[(2S)-2-methyl-3,5-dioxo-4,6,16-triazatetracyclo[7.7.0.02,6.010,15]hexadeca-1(9),10,12,14-tetraen-4-yl]butanoyl]amino]butanediamide	6825	537.2868	9	3.3	C28H36N6O5	[M + H]+	0.5	OKDMHDCSXOJAGB	0.484664754013107	0.636020861283979	0.846624422336445	Beta carbolines
Artemidin	1933	201.0911	0.5	6	C13H12O2	[M + H]+	0.61	DHKBMMCQVXFEJY	-0.107924817449966	0.642386101233831	0.850066078084101	Isocoumarins and derivatives
Phomapyrone D	857	223.0952	-6	4.6	C12H14O4	[M + H]+	0.57	GPMIPHAWSKXHCS	-0.112962065454084	0.643585623215001	0.850800940905501	Pyranones and derivatives
Desvenlafaxine-o-glucuronide	5951	440.2268	-2.4	1.7	C22H33NO8	[M + H]+	0.83	GRDOISGIGBUYGA	-0.692454457845999	0.643244357245329	0.850800940905501	Phenolic glycosides
Crepenynate	4058	279.2329	3.7	7	C18H30O2	[M + H]+	0.54	SAOSKFBYQJLQOS	0.0642593371242515	0.645732823945388	0.851405498528138	Long-chain fatty acids
2-[(3-acetyloxy-2-heptanoyloxypropoxy)-hydroxyphosphoryl]oxyethyl-trimethylazanium	2254	412.2092	-0.7	3	C17H34NO8P	[M + H]+	0.72	BBZZVOMOBPBYTN	-0.0619724571265212	0.648569200646609	0.853910424100427	Phosphatidylcholines
[3,4,5-trihydroxy-6-[4-(6-methyl-3-methylidene-2-oxo-3a,4,7,7a-tetrahydro-1-benzofuran-5-yl)pentoxy]oxan-2-yl]methyl acetate	6246	455.2291	3.3	4.3	C23H34O9	[M + H]+	0.59	AFVFSWMCPXHALI	0.227270514279491	0.650107734354823	0.855318509088038	Terpene lactones
Hexagol	2868	283.1747	-1.7	1.8	C12H26O7	[M + H]+	0.59	IIRDTKBZINWQAW	0.0932487341520118	0.653015348631446	0.856764643388715	Polyethylene glycols
1-[2-(2-amino-3-cyano-1-pyrrolo[3,2-b]quinoxalinyl)ethyl]-3-phenylurea	3092	372.1577	2.6	3.7	C20H17N7O	[M + H]+	0.56	NRSOPYNZUNZZCK	0.621717451210324	0.653321215591998	0.856764643388715	Quinoxalines
(3a,5b,7a,12a)-23-carboxy-7,12-dihydroxy-24-norcholan-3-yl b-D-glucopyranosiduronic acid	2824	585.3257	-2.2	4.5	C30H48O11	[M + H]+	0.79	RBLDVEUUCHVWMW	0.134918395659697	0.652695235309529	0.856764643388715	Steroid glucuronide conjugates
JBIR-19	3359	550.3134	-1	5.1	C26H48NO9P	[M + H]+	0.52	GBCIMKINXXNPFP	0.130780658411907	0.654688249008752	0.857065139899984	Macrolides and analogues
Triisovalerin	7557	367.2086	-1.4	6	C18H32O6	[M + Na]+	0.55	HZGMZSCMYSGJTL	-0.0952109596662701	0.660432658180961	0.859397516271593	Triacylglycerols
Oleamide	262	282.2794	0.9	7.9	C18H35NO	[M + H]+	0.78	FATBGEAMYMYZAF	-0.130386300212426	0.660896640833248	0.85940388548392	Fatty amides
1-(b-D-Glucopyranosyloxy)-3-octanone	2601	307.1722	-9.5	3.4	C14H26O7	[M + H]+	0.5	LXYZKMJJLXYZTE	-0.0631002840311194	0.661713021284985	0.859425708200264	Fatty acyl glycosides of mono- and disaccharides
4-[2-Hydroxy-3-[(1-methylethyl)amino]propoxy]benzoic Acid-d7	2291	254.1374	-5.2	1.3	C13H19NO4	[M + H]+	0.68	WONQRVASZHJNFS	0.314118796930936	0.662851947537974	0.859986144671288	Benzoic acids
Heptadecanamide	404	270.2801	3.5	8	C17H35NO	[M + H]+	0.76	REEPJBYQLCWOAR	0.0751125124807668	0.665707275948285	0.862157114837854	Fatty amides
2,3-Diaceto-1-palmitin	6243	415.305	-1.1	7.6	C23H42O6	[M + H]+	0.56	CIUYPOUJRYWLDF	-0.0899091372311054	0.669811097301816	0.863539922599813	Triacylglycerols
dimethylguanin	3478	180.0874	-3.3	0.7	C7H9N5O	[M + H]+	0.71	XMSMHKMPBNTBOD	-0.154961715245001	0.668592557057542	0.863539922599813	Hypoxanthines
acetyltri-n-hexylcitrate	3506	487.3259	-1.3	8.9	C26H46O8	[M + H]+	0.63	TUUQISRYLMFKOG	-0.284978053203075	0.670181526062125	0.863657959557798	Tetracarboxylic acids and derivatives
3-[4-[2-Hydroxy-3-(Propan-2-ylamino)Propoxy]Phenyl]Propanoate	6800	282.1689	-3.9	2.7	C15H23NO4	[M + H]+	0.82	ILSCWPMGTDPATI	0.830549505220971	0.675048396007061	0.867306907254551	Phenylpropanoic acids
Tridecanoylcarnitine	1887	358.2944	-2.2	5.7	C20H39NO4	[M + H]+	0.96	OLAOWMDKXPIITQ	0.0604415098189384	0.677190225324928	0.868394075864983	Fatty acid esters
